АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.12.23,2,1361.9
Z313,01.12.23,3,465.18
Z313,01.12.23,4,515.75
Z313,01.12.23,5,303.67
Z313,01.12.23,6,266.16
Z313,01.12.23,7,785.63
Z313,01.12.23,8,1684.64
Z313,01.12.23,9,3338.75
Z313,01.12.23,10,3324.66
Z313,01.12.23,11,3220.26
Z313,01.12.23,12,3427.54
Z313,01.12.23,13,3173.13
Z313,01.12.23,14,3066.59
Z313,01.12.23,15,3632
Z313,01.12.23,16,3421.7
Z313,01.12.23,17,4207.27
Z313,01.12.23,18,3683.17
Z313,01.12.23,19,4270.85
Z313,01.12.23,20,3309.79
Z313,01.12.23,21,3195.17
Z313,01.12.23,22,3493.35
Z313,01.12.23,23,2655.94
Z313,01.12.23,24,2907.79
Z313,02.01.22,1,1346.37
Z313,02.01.22,2,804.34
Z313,02.01.22,3,740.51
Z313,02.01.22,4,191.84
Z313,02.01.22,5,236.4
Z313,02.01.22,6,206.11
Z313,02.01.22,7,197.45
Z313,02.01.22,8,401
Z313,02.01.22,9,1014.19
Z313,02.01.22,10,494.53
Z313,02.01.22,11,1404.63
Z313,02.01.22,12,1550.61
Z313,02.01.22,13,2370.33
Z313,02.01.22,14,2803.34
Z313,02.01.22,15,2738.76
Z313,02.01.22,16,2763.21
Z313,02.01.22,17,2514.2
Z313,02.01.22,18,2088.35
Z313,02.01.22,19,2181.29
Z313,02.01.22,20,2231.67
Z313,02.01.22,21,1879.45
Z313,02.01.22,22,2090.95
Z313,02.01.22,23,1902.84
Z313,02.01.22,24,1077.8
Z313,02.01.23,1,1988.49
Z313,02.01.23,2,507.38
Z313,02.01.23,3,443.3
Z313,02.01.23,4,447.05
Z313,02.01.23,5,536.58
Z313,02.01.23,6,343.62
Z313,02.01.23,7,467.39
Z313,02.01.23,8,206.53
Z313,02.01.23,9,508.53
Z313,02.01.23,10,1232.8
Z313,02.01.23,11,1158.82
Z313,02.01.23,12,1802.58
Z313,02.01.23,13,1987.46
Z313,02.01.23,14,2524.87
Z313,02.01.23,15,2707.03
Z313,02.01.23,16,2535.15
Z313,02.01.23,17,2384.63
Z313,02.01.23,18,2569.37
Z313,02.01.23,19,2860.9
Z313,02.01.23,20,2442.88
Z313,02.01.23,21,2722.94
Z313,02.01.23,22,2701.79
Z313,02.01.23,23,1798.49
Z313,02.01.23,24,1254.49
Z313,02.01.24,1,2425.55
Z313,02.01.24,2,1128.1
Z313,02.01.24,3,1166.4
Z313,02.01.24,4,818.24
Z313,02.01.24,5,362.66
Z313,02.01.24,6,430.06
Z313,02.01.24,7,258.64
Z313,02.01.24,8,468.71
Z313,02.01.24,9,898.68
Z313,02.01.24,10,1324.54
Z313,02.01.24,11,2170.2
Z313,02.01.24,12,2156.94
Z313,02.01.24,13,3240.93
Z313,02.01.24,14,3280.56
Z313,02.01.24,15,3515.84
Z313,02.01.24,16,3656.43
Z313,02.01.24,17,3642.22
Z313,02.01.24,18,3303.3
Z313,02.01.24,19,3237.66
Z313,02.01.24,20,3059.95
Z313,02.01.24,21,3138.17
Z313,02.01.24,22,3709.39
Z313,02.01.24,23,3272.27
Z313,02.01.24,24,1828.88
Z313,02.02.22,1,1606.82
Z313,02.02.22,2,708.14
Z313,02.02.22,3,280.51
Z313,02.02.22,4,130.95
Z313,02.02.22,5,35.82
Z313,02.02.22,6,249.76
Z313,02.02.22,7,306.54
Z313,02.02.22,8,2321.93
Z313,02.02.22,9,3255.72
Z313,02.02.22,10,3070.37
Z313,02.02.22,11,3240.08
Z313,02.02.22,12,2914.42
Z313,02.02.22,13,3404.37
Z313,02.02.22,14,3089.05
Z313,02.02.22,15,2966.18
Z313,02.02.22,16,2323.93
Z313,02.02.22,17,2323.08
Z313,02.02.22,18,3307.39
Z313,02.02.22,19,3448.06
Z313,02.02.22,20,3226.14
Z313,02.02.22,21,3106.43
Z313,02.02.22,22,2787.49
Z313,02.02.22,23,1914.08
Z313,02.02.22,24,1379.66
Z313,02.02.23,1,1548.79
Z313,02.02.23,2,901.1
Z313,02.02.23,3,677.17
Z313,02.02.23,4,252.02
Z313,02.02.23,5,84.73
Z313,02.02.23,6,289.08
Z313,02.02.23,7,310.82
Z313,02.02.23,8,1839.44
Z313,02.02.23,9,3210.55
Z313,02.02.23,10,3883.6
Z313,02.02.23,11,3762.24
Z313,02.02.23,12,3223.73
Z313,02.02.23,13,2805.28
Z313,02.02.23,14,3148.94
Z313,02.02.23,15,3352.93
